MeterID;FromDateTime;ToDateTime;Value
123456789012345000;2020-10-23 00,00;2020-10-23 01,00;0,132
123456789012345000;2020-10-23 01,00;2020-10-23 02,00;0,16
123456789012345000;2020-10-23 02,00;2020-10-23 03,00;0,103
123456789012345000;2020-10-23 03,00;2020-10-23 04,00;0,119
123456789012345000;2020-10-23 04,00;2020-10-23 05,00;0,168
123456789012345000;2020-10-23 05,00;2020-10-23 06,00;0,175
123456789012345000;2020-10-23 06,00;2020-10-23 07,00;0,746
123456789012345000;2020-10-23 07,00;2020-10-23 08,00;0,602
123456789012345000;2020-10-23 08,00;2020-10-23 09,00;0,356
123456789012345000;2020-10-23 09,00;2020-10-23 10,00;0,5
123456789012345000;2020-10-23 10,00;2020-10-23 11,00;0,666
123456789012345000;2020-10-23 11,00;2020-10-23 12,00;0,458
123456789012345000;2020-10-23 12,00;2020-10-23 13,00;0,528
123456789012345000;2020-10-23 13,00;2020-10-23 14,00;0,444
123456789012345000;2020-10-23 14,00;2020-10-23 15,00;0,595
123456789012345000;2020-10-23 15,00;2020-10-23 16,00;0,378
123456789012345000;2020-10-23 16,00;2020-10-23 17,00;0,236
123456789012345000;2020-10-23 17,00;2020-10-23 18,00;0,61
123456789012345000;2020-10-23 18,00;2020-10-23 19,00;0,195
123456789012345000;2020-10-23 19,00;2020-10-23 20,00;0,444
123456789012345000;2020-10-23 20,00;2020-10-23 21,00;0,122
123456789012345000;2020-10-23 21,00;2020-10-23 22,00;0,126
123456789012345000;2020-10-23 22,00;2020-10-23 23,00;0,145
123456789012345000;2020-10-23 23,00;2020-10-24 00,00;0,375
123456789012345000;2020-10-24 00,00;2020-10-24 01,00;0,145
123456789012345000;2020-10-24 01,00;2020-10-24 02,00;0,125
123456789012345000;2020-10-24 02,00;2020-10-24 03,00;0,145
123456789012345000;2020-10-24 03,00;2020-10-24 04,00;0,072
123456789012345000;2020-10-24 04,00;2020-10-24 05,00;0,189
123456789012345000;2020-10-24 05,00;2020-10-24 06,00;0,078
123456789012345000;2020-10-24 06,00;2020-10-24 07,00;0,143
123456789012345000;2020-10-24 07,00;2020-10-24 08,00;0,177
123456789012345000;2020-10-24 08,00;2020-10-24 09,00;0,631
123456789012345000;2020-10-24 09,00;2020-10-24 10,00;0,56
123456789012345000;2020-10-24 10,00;2020-10-24 11,00;0,111
123456789012345000;2020-10-24 11,00;2020-10-24 12,00;0,12
123456789012345000;2020-10-24 12,00;2020-10-24 13,00;0,161
123456789012345000;2020-10-24 13,00;2020-10-24 14,00;0,163
123456789012345000;2020-10-24 14,00;2020-10-24 15,00;0,394
